date,type,value
1986-04-01,pop_15yr_over,12207833.27
1986-05-01,emp,6978969.976000001
1986-05-01,uemp,594500.2444000001
1986-05-01,lf,7573470.22
1986-05-01,nilf,4655195.76
1986-05-01,pop_15yr_over,12228665.98
1986-06-01,emp,7007678.152000001
1986-06-01,uemp,563808.5457
1986-06-01,lf,7571486.698
1986-06-01,nilf,4678177.539
1986-06-01,pop_15yr_over,12249664.24
1986-07-01,emp,6991497.212
1986-07-01,uemp,596075.9523
1986-07-01,lf,7587573.165
1986-07-01,nilf,4683197.8719999995
1986-07-01,pop_15yr_over,12270771.04
1986-08-01,emp,6918525.052
1986-08-01,uemp,597629.0645
1986-08-01,lf,7516154.117
1986-08-01,nilf,4775650.0649999995
1986-08-01,pop_15yr_over,12291804.18
1986-09-01,emp,7040598.600000001
1986-09-01,uemp,633076.7289
1986-09-01,lf,7673675.329
1986-09-01,nilf,4639349.665
1986-09-01,pop_15yr_over,12313024.99
1986-10-01,emp,7030367.547
1986-10-01,uemp,591012.8257
1986-10-01,lf,7621380.373
1986-10-01,nilf,4713430.789
1986-10-01,pop_15yr_over,12334811.16
1986-11-01,emp,7034163.94
1986-11-01,uemp,584203.5545
1986-11-01,lf,7618367.494
1986-11-01,nilf,4738188.679
1986-11-01,pop_15yr_over,12356556.17
1986-12-01,emp,7116814.849
1986-12-01,uemp,655809.7760000001
1986-12-01,lf,7772624.625
1986-12-01,nilf,4605913.332
1986-12-01,pop_15yr_over,12378537.959999999
1987-01-01,emp,6902543.985
1987-01-01,uemp,670689.2626
1987-01-01,lf,7573233.248
1987-01-01,nilf,4828206.493
1987-01-01,pop_15yr_over,12401439.74
1987-02-01,emp,7022252.753
1987-02-01,uemp,699655.0839
1987-02-01,lf,7721907.836999999
1987-02-01,nilf,4702373.998
1987-02-01,pop_15yr_over,12424281.83
1987-03-01,emp,7133389.586
1987-03-01,uemp,702849.5881
1987-03-01,lf,7836239.174000001
1987-03-01,nilf,4611137.973
1987-03-01,pop_15yr_over,12447377.15
1987-04-01,emp,7109576.413
1987-04-01,uemp,652045.3119999999
1987-04-01,lf,7761621.725
1987-04-01,nilf,4707124.181
1987-04-01,pop_15yr_over,12468745.91
1987-05-01,emp,7103523.457
1987-05-01,uemp,635133.8559
1987-05-01,lf,7738657.313
1987-05-01,nilf,4751168.995
1987-05-01,pop_15yr_over,12489826.31
1987-06-01,emp,7128887.578
1987-06-01,uemp,603126.0181999999
1987-06-01,lf,7732013.596
1987-06-01,nilf,4779032.495
1987-06-01,pop_15yr_over,12511046.09
1987-07-01,emp,7175620.017999999
1987-07-01,uemp,610097.676
1987-07-01,lf,7785717.694
1987-07-01,nilf,4745513.006
1987-07-01,pop_15yr_over,12531230.7
1987-08-01,emp,7092257.321
1987-08-01,uemp,602033.9426000001
1987-08-01,lf,7694291.264
1987-08-01,nilf,4856787.108
1987-08-01,pop_15yr_over,12551078.37
1987-09-01,emp,7186533.46
1987-09-01,uemp,597602.5738
1987-09-01,lf,7784136.034
1987-09-01,nilf,4786987.961
1987-09-01,pop_15yr_over,12571123.99
1987-10-01,emp,7177382.961
1987-10-01,uemp,585398.2292
